,0,1,2
0,st,1245520,1615410
1,st,2684609,3234588
2,st,4269657,4376566
3,st,5459026,5500006
4,st,6431586,6546559
5,st,7301052,7694509
6,st,9367566,10248063
7,st,11599095,12289086
8,st,14065036,14162580
9,st,14432563,14467561
10,st,14482592,14560085
11,st,14734554,14758076
12,st,15081593,15685047
13,st,16048061,16526543
14,st,17525098,18414887
15,st,20587059,20654613
16,st,20928042,20992561
17,st,504507,719061
18,st,1441030,1542575
19,st,2611546,2761372
20,st,3550023,3618072
21,st,4341176,4653539
22,st,5106576,5401574
23,st,5500531,6041588
24,sst,7168000,7168154
25,st,10359605,10731519
26,st,12641065,13005102
27,st,13137031,13625601
28,st,14262517,14349527
29,st,14477029,14519031
30,st,14587577,14733500
31,st,14820074,14836585
32,st,15218562,15336531
33,st,15943060,16048061
34,st,17013578,17460553
35,st,19057584,19332512
36,sst,19475500,19475581
