,0,1,2
0,st,12765023,12778080
1,st,13156016,13301003
2,st,14340031,14758109
3,st,15516017,15633023
4,st,15866539,15998570
5,st,16419541,16498117
6,st,17390081,17586095
7,st,17799603,17805114
8,sst,93500,93677
9,sst,273000,274558
10,st,661080,782037
11,sst,1140000,1140452
12,sst,1612500,1612536
13,sst,6585000,6586298
14,sst,12073000,12073470
15,sst,13256000,13256574
16,sst,13429500,13429711
17,sst,14227500,14227532
18,sst,15412500,15412600
19,sst,15495000,15495559
20,sst,15642500,15642545
21,sst,16413000,16413239
22,sst,16559000,16559227
23,sst,17579500,17579559
