,0,1,2
0,sst,208750,208985
1,(urd,4848250,4848415
2,urd0,6593750,6593939
3,(urd,10287750,10287768
4,urd0,10510750,10510909
5,(urd,15083750,15083854
6,urd0,15121250,15121416
7,(urd,15937250,15937387
8,urd0,15982250,15982481
9,(urd,16439750,16439851
10,urd0,16740250,16740336
11,(urd,17252750,17252912
12,urd0,17449750,17449828
13,(urd,20759750,20759914
14,urd0,20927250,20927285
15,(urd,21422250,21422485
16,urd0,21444750,21444839
17,(urd,10516250,10516519
18,urd0,11617250,11617453
19,(urd,16070250,16070329
20,urd0,16763750,16763908
21,(urd,18034250,18034385
22,urd0,19631250,19631998
23,(urd,726750,727104
24,urd0,742250,742699
25,(urd,749750,749904
26,urd0,762250,762291
27,(urd,3885750,3885827
28,urd0,3989250,3989934
29,(urd,5322750,5322939
30,urd0,9421250,9421259
31,(urd,9867750,9868009
32,urd0,15672750,15672876
33,(urd,15995250,15995327
34,urd0,16073750,16073774
