,0,1,2
0,st,15440623,15917071
1,st,16688041,16727587
2,st,17090611,17340502
3,st,17581506,17771050
4,st,1498561,1764086
5,st,2119512,2723576
6,st,3034062,3232055
7,st,3542589,3724653
8,st,4136512,4226733
9,st,4482554,4639505
10,st,4832077,4957057
11,sst,5569000,5569008
12,sst,6820000,6820186
13,st,11297040,11342072
14,st,14468703,14985058
15,st,15464100,15523025
16,st,16708040,16792618
17,st,17188556,17335011
18,st,17582528,17633616
19,st,17777517,17818105
20,st,17905600,17992160
21,st,18192003,18255077
