,0,1,2
0,st,58508,391045
1,st,420054,1131081
2,st,1393501,1491074
3,st,8181072,9011007
4,st,10338552,10898043
5,st,11046047,12740324
6,st,14437554,14516544
7,st,14694019,15647553
8,st,15680051,15905089
9,st,1078565,1120023
10,st,1181014,1315057
11,st,14026068,14343593
12,st,14467530,14625575
13,st,15650045,15816012
14,st,15894081,16817565
15,st,16909166,17631005
16,st,17681069,18339541
17,st,21258565,40602
18,st,1481027,1607009
19,st,2467054,2686561
20,st,5495563,5712519
21,st,6918505,6996566
22,st,11527049,12697652
23,st,12704056,12748050
24,st,15981028,18399538
25,st,18557067,20748050
