,0,1,2
0,st,189531,380507
1,st,1057305,1417549
2,st,1659539,1764004
3,st,2263067,2338501
4,sst,2756000,2756092
5,st,2990590,3080500
6,st,3637084,3742571
7,st,4189537,4422826
8,sst,4890000,4890170
9,st,5379076,5779767
10,sst,6298000,6298019
11,st,6968551,7147017
12,st,7839548,8075051
13,st,9549562,10129582
14,st,10955599,11382515
15,st,12131514,12287520
16,st,13786053,14060018
17,st,14394833,14799955
18,st,15134877,15226514
19,st,15304091,15347071
20,st,16037053,16419590
21,st,17040753,17373074
22,st,17562074,17771511
23,st,18088534,18263047
24,st,18304164,18318057
25,st,18399558,18452511
26,st,18480817,18506124
27,st,18618531,18903501
28,st,19234649,19407065
29,st,19630256,19695583
30,st,19738514,19819042
31,st,20505088,20576071
32,sst,20800500,20800512
33,st,20848565,20940537
34,st,21226523,21322567
35,st,146106,380507
36,st,710609,998107
37,st,1440002,1538529
38,st,2014424,2145012
39,st,2335048,2722554
40,st,2765582,2824527
41,st,2968174,3090039
42,st,3311501,3517558
43,st,3590609,3743573
44,sst,4423000,4423152
45,st,4567589,4842070
46,st,4947537,5197527
47,sst,5332500,5332700
48,st,6106980,6142546
49,st,6620008,6790527
50,st,7144551,7289008
51,st,7635583,7830276
52,st,8193360,8608262
53,st,9304529,9541025
54,sst,10271500,10271643
55,st,10878019,11295004
56,st,11824006,12000666
57,sst,13275000,13275695
58,sst,13670500,13670718
59,sst,13804500,13804573
60,sst,15015000,15015168
61,sst,15193500,15193570
62,sst,15428500,15428627
63,sst,15627000,15627003
64,st,15743555,15828670
65,st,16143013,16603358
66,st,17168008,17280003
67,st,17343535,17498652
68,st,17590693,17804506
69,st,17883836,17924579
70,st,18172606,18275413
71,sst,18432500,18432512
72,st,18480014,18506124
73,st,19102690,19269503
74,sst,20014500,20014587
75,sst,20317000,20317636
76,sst,20548000,20548077
77,sst,20600500,20600588
78,st,20793539,20813041
79,st,20864569,20969560
80,st,21006071,21219005
