,0,1,2
0,sst,269000,269018
1,sst,390000,390077
2,sst,1220500,1220695
3,sst,2640500,2640602
4,sst,2671500,2671614
5,sst,2951000,2951550
6,sst,3053000,3053178
7,sst,3486500,3486925
8,sst,3558500,3558516
9,sst,4432500,4432771
10,sst,5193500,5193939
11,sst,5713000,5713561
12,sst,5779500,5779507
13,sst,5824500,5824532
14,sst,5918000,5918114
15,sst,6011000,6011004
16,sst,6080500,6080515
17,sst,6190000,6190426
18,sst,6254000,6254105
19,sst,6713000,6713010
20,sst,6788500,6789627
21,sst,6867500,6867827
22,sst,7140000,7140586
23,sst,7233500,7233636
24,sst,7381500,7381623
25,sst,7997000,7997629
26,sst,8154500,8155015
27,sst,8682000,8682072
28,sst,8910000,8910090
29,sst,9424500,9424601
30,sst,9690000,9690672
31,sst,9816000,9816529
32,sst,9914000,9914045
33,sst,10160000,10160271
34,sst,10236000,10236128
35,sst,10274500,10274521
36,sst,10456500,10457049
37,sst,10527000,10527081
38,sst,10620500,10625179
39,sst,10789500,10789558
40,sst,10984000,10984113
41,sst,11768500,11768570
42,sst,12157500,12157588
43,sst,12768000,12768261
44,sst,14058000,14058012
45,sst,14419500,14419575
46,sst,14492000,14495197
47,sst,15611500,15611615
48,sst,16519000,16519109
49,sst,17820000,17820038
50,sst,18569500,18569594
51,sst,18871500,18872379
52,sst,18970000,18970187
53,sst,19060000,19060489
54,sst,19137500,19137564
55,sst,19782000,19784299
56,sst,19830500,19830560
57,sst,20728000,20728001
58,sst,21209000,21209090
59,sst,21534500,21534653
60,sst,376000,376543
61,sst,622000,622101
62,sst,975000,976100
63,sst,1221000,1221135
64,sst,2071000,2071016
65,sst,2287500,2287580
66,sst,2665000,2665014
67,sst,2683500,2683904
68,sst,2735500,2735596
69,sst,3106500,3106563
70,sst,3202000,3202515
71,sst,3347000,3347094
72,sst,3410500,3410554
73,sst,3476500,3476592
74,sst,3678500,3678529
75,sst,3805000,3805126
76,sst,3951000,3951311
77,sst,4219000,4219106
78,sst,4336000,4336575
79,sst,4444000,4444513
80,sst,4847000,4847239
81,sst,4934500,4934647
82,sst,5419000,5419029
83,sst,5535000,5535240
84,sst,5657500,5657536
85,sst,5681000,5681074
86,sst,5752000,5752048
87,sst,6030000,6030084
88,sst,6102000,6102126
89,sst,6845000,6845026
90,sst,6910000,6910379
91,sst,7218000,7218146
92,sst,7638500,7638531
93,sst,7807500,7807534
94,sst,8407500,8407537
95,sst,8997000,8997000
96,sst,9027500,9027526
97,sst,9898000,9898031
98,sst,10132000,10132423
99,sst,10279500,10280036
100,sst,10380000,10380053
101,sst,11003500,11003587
102,sst,12583000,12587343
103,sst,12696500,12696566
104,sst,13094000,13094870
105,sst,14196500,14196727
106,sst,14429000,14430443
107,sst,14524500,14525328
108,sst,16136000,16136032
109,sst,18011000,18011529
110,sst,18923000,18923140
111,sst,19033500,19035079
