,0,1,2
0,st,2488810,2690547
1,st,4819257,5053798
2,st,6580777,7738753
3,st,9722784,11175763
4,st,11930321,12340264
5,st,14945261,16539276
6,st,17222780,17674256
7,st,19256819,19872297
8,st,19944264,21016297
9,st,21030286,985273
10,st,1133188,2410256
11,st,2928814,4821296
12,st,5775293,7148286
13,sst,10189250,10189707
14,sst,17653250,17653406
15,st,18071768,18761763
16,st,18784262,19173791
17,st,21242811,928773
18,st,5777779,6032873
19,st,8754296,9411300
20,sst,13180250,13180361
21,st,14945261,16599367
22,st,19829267,19945265
