,0,1,2
0,rtst,2993088,3059178
1,rtst,3204572,3528518
2,rtst,3538001,3609033
3,st,4151061,4300523
4,rtst,5647670,5712106
5,rtst,5751600,5855571
6,rtst,5882015,5979519
7,rtst,6005550,6121032
8,sst,8264000,8264046
9,sst,9292500,9292584
10,sst,10054500,10054696
11,st,12581630,12669106
12,rtst,12786050,12793006
13,rtst,12878043,12885007
14,rtst,13019583,13026568
15,st,13215512,13343547
16,st,15445616,15700571
17,rtst,15814567,16154623
18,sst,17504500,17504624
19,sst,18659500,18659765
20,sst,19223500,19223613
21,sst,19311500,19311503
22,sst,19372500,19372761
23,sst,19765500,19765570
24,st,720029,878502
25,sst,1185000,1185064
26,sst,2943000,2943016
27,sst,5982000,5982141
28,st,8519011,8869558
29,sst,12669500,12669757
30,st,13203606,13254130
