,0,1,2
0,sst,41750,41815
1,sst,209750,209883
2,sst,317750,317867
3,st,532274,729878
4,st,765360,955803
5,sst,1301750,1301935
6,st,1574264,1622345
7,sst,2009250,2009436
8,sst,2243750,2243989
9,st,2452793,2584277
10,st,2743784,2812844
11,st,2967302,3049802
12,st,3069768,3127842
13,st,3312755,3365795
14,st,3412333,3457261
15,st,3552819,3739815
16,st,4174293,4262803
17,st,4485350,4500352
18,st,4860274,4979262
19,st,5017328,5059837
20,st,5273839,5441878
21,st,5453828,5551788
22,sst,5570750,5570813
23,st,6359800,6439889
24,st,6639311,6666285
25,st,6696275,6780779
26,sst,7171250,7171356
27,sst,9226750,9226821
28,sst,9607250,9607498
29,sst,9689250,9689501
30,st,10039375,10135761
31,sst,10547750,10547869
32,st,10725314,10774807
33,st,10784804,10916265
34,sst,11173250,11173374
35,st,11663786,11996278
36,sst,12303750,12303978
37,st,13358969,13530266
38,st,13954855,14077312
39,st,14447955,14784828
40,st,15256343,15318776
41,st,15534347,15590782
42,st,15836358,16500381
43,st,16752335,16789790
44,st,16806771,16862225
45,st,16908809,17200274
46,st,17466760,17664795
47,st,17921329,18005751
48,st,18163795,18239375
49,st,18787251,18793801
50,st,18812386,19078297
51,st,19559344,19706778
52,st,19771340,20028315
53,st,20265304,20642273
54,st,21033802,21130286
55,st,34334,148915
56,st,303344,531759
57,st,742400,956304
58,st,1277750,1381777
59,st,1698791,2257374
60,st,3125761,3530329
61,st,4787852,4986829
62,st,5453307,5679314
63,sst,6903750,6903855
64,st,9161331,9482861
65,sst,10009250,10009406
66,st,10998833,11293353
67,st,11399863,11499300
68,st,11690349,11759864
69,st,11781331,11858252
70,st,12031862,12096794
71,st,12237345,12581278
72,st,12595289,12746781
73,st,12787764,12879353
74,st,13527279,13817829
