,0,1,2
0,st,481113,967617
1,sst,4808500,4808700
2,sst,5834000,5834122
3,st,6289907,6327512
4,st,6685750,7249181
5,sst,9001500,9001712
6,st,9810116,9830552
7,sst,11755500,11755655
8,sst,13254500,13255325
9,sst,13894000,13894031
10,sst,16568500,16568677
11,sst,17952000,17952131
12,sst,19166500,19166646
13,sst,20231000,20231144
14,sst,21669500,21669701
15,sst,49500,49676
16,sst,1287000,1287080
17,sst,2460000,2460013
18,sst,5414000,5414397
19,sst,7255500,7257226
20,sst,9108500,9108692
21,sst,9748500,9748768
22,sst,10266500,10266532
23,sst,10937500,10937684
24,sst,11479000,11479236
25,st,17160015,17351074
26,st,17365641,18285105
