,0,1,2
0,st,689531,959079
1,st,1245038,1477523
2,st,2079527,2263024
3,st,2372711,2418541
4,sst,2709500,2709731
5,st,2903155,3365781
6,st,4000540,4064577
7,st,4134005,4147532
8,st,4203551,4277128
9,st,4725036,4753099
10,st,7157601,7238229
11,st,7738035,7800039
12,st,8579500,8653035
13,st,11828505,12301522
14,st,13539531,14704017
15,st,14714080,14749100
16,st,16219032,16475030
17,st,18143548,18378049
18,st,18630501,18667134
19,st,18683565,18700051
20,sst,66500,66598
21,st,4320296,4470046
22,st,4848567,5157051
23,st,7327574,7737006
24,st,8103524,8248071
25,st,8879047,8943601
26,st,9258542,9361018
27,st,9892524,11239537
28,st,13389541,15253022
29,st,15585032,17384071
30,st,17400038,17533053
31,st,18551001,18597002
