,0,1,2
0,sst,45000,45129
1,sst,2046500,2046585
2,sst,2793000,2795326
3,sst,2930500,2930723
4,sst,3445500,3445747
5,sst,3741500,3741502
6,st,4615024,4857584
7,st,5194604,5512048
8,st,6005794,6241062
9,st,6460055,6649713
10,st,6721613,6899562
11,st,7071601,7135504
12,st,7597523,8411506
13,st,8554093,8735515
14,st,9446580,9946525
15,st,10131077,10327010
16,st,10972598,11295034
17,st,11854000,12046114
18,st,12238053,14640510
19,st,17572578,17670711
20,st,17771619,19143095
21,st,19413095,19713157
22,st,20387014,20772009
23,st,21011510,21075559
24,st,113013,157582
25,st,521025,729566
26,st,1478619,1664070
27,st,1733569,1767044
28,st,2371553,2453613
29,st,2557508,2750619
30,st,2844709,3025874
31,st,3043068,3394632
32,st,3740511,4324120
33,st,4818530,5095071
34,st,5107698,5584588
35,st,5872655,6187544
36,st,10508606,11029017
37,st,11858113,12186580
38,st,16117015,17246520
39,sst,19473500,19473683
