,0,1,2
0,st,4492530,5247074
1,st,6732058,7024570
2,st,8688507,8803077
3,st,10899611,11197621
4,st,12243002,12339298
5,st,12709070,12794553
6,st,16017005,16116551
7,st,18843538,18963000
8,st,753565,833556
9,st,1112038,1228528
10,st,2882013,2939575
11,st,3352540,3516006
12,sst,5096500,5096615
13,sst,5285500,5285622
14,sst,5553500,5553621
15,sst,6553000,6553120
16,st,7008532,7052045
17,st,7518016,7582600
18,sst,8831000,8831068
19,st,9020535,9150087
20,st,10198055,10391087
21,st,10974559,11268575
22,st,12058081,12110583
23,st,12242019,12320560
24,st,12720581,12808003
25,st,13031511,13044555
26,st,13115612,13134123
27,st,13301060,13548060
28,st,14502061,14630594
29,st,20157086,20519019
