,0,1,2
0,st,1720603,1792579
1,sst,3155500,3155671
2,st,4179089,4331513
3,st,5004118,5157063
4,st,5254562,5334573
5,st,5404529,5607007
6,st,6069572,6298072
7,urd0,7878500,7878871
8,st,9041587,9092533
9,st,9549693,9595538
10,st,9668016,9757574
11,st,11334517,11524654
12,st,11797557,12113585
13,sst,13594000,13594604
14,st,14690083,14749113
15,st,16587590,16746661
16,st,17786521,17812006
17,st,18406594,18539051
18,st,19404592,19597546
19,st,45100,272092
20,st,1616083,1780575
21,st,2060514,2243630
22,st,2859096,3151106
23,st,4369739,4769114
24,st,5026049,5184592
25,st,5254562,5375225
26,st,5720560,5886519
27,st,6371626,6782566
28,st,7734528,7953634
29,st,8900542,9094732
30,st,9569570,9631522
31,st,12982563,13358105
32,st,13791554,13836647
33,sst,16422500,16422792
34,st,17038616,17391585
