,0,1,2
0,rtst,5099080,5135509
1,sst,5258000,5258113
2,sst,5333000,5333027
3,sst,5383000,5383027
4,sst,5529000,5529053
5,sst,5574000,5574098
6,sst,6116500,6116657
7,sst,6214000,6214170
8,sst,6312500,6312511
9,sst,6351000,6351087
10,sst,6707000,6707167
11,sst,6850500,6850615
12,sst,7681000,7681035
13,sst,7917000,7917175
14,sst,8020000,8020108
15,sst,8175500,8175501
16,sst,8793500,8793626
17,sst,9254000,9254172
18,sst,9897000,9897001
19,sst,10713500,10713648
20,sst,11838500,11838560
21,sst,12932000,12932074
22,sst,14773000,14773202
23,sst,15122000,15122101
24,sst,15986000,15986164
25,sst,16309500,16309500
26,sst,16693000,16693037
27,sst,17493500,17493749
28,sst,17882000,17882191
29,sst,17990500,17990733
30,sst,18253000,18253433
31,sst,186000,186013
32,sst,722000,722155
33,sst,1284500,1284604
34,sst,1489500,1489520
35,sst,2447000,2447130
36,sst,3326000,3326201
37,sst,4459000,4459059
38,sst,4889000,4889166
39,sst,5025500,5025524
40,sst,5156000,5156267
41,rtst,5276564,5301512
42,rtst,5312090,5337570
43,sst,5385500,5385504
44,sst,5404500,5404652
45,sst,5433000,5433011
46,sst,5987000,5987273
47,sst,6670500,6670627
48,sst,6819500,6819565
49,sst,6963500,6963615
50,sst,10578500,10578560
51,sst,12106000,12106165
52,sst,16706000,16706222
53,rtst,18420101,18864599
