,0,1,2
0,sccst,3331500,3331579
1,sccst,3366000,3366123
2,sccst,3399500,3399641
3,sccst,3421000,3421094
4,sccst,8742000,8742022
5,sccst,8799500,8799558
6,sccst,8813000,8813270
7,sccst,8843500,8843548
8,sccst,8884000,8884101
9,sccst,8915500,8915697
10,sccst,8951500,8951731
11,sccst,8989000,8989018
12,sccst,9039500,9039604
13,sccst,9450000,9450083
14,sccst,9466000,9466166
15,sccst,12250000,12250091
16,sccst,12273500,12273501
17,sccst,13012500,13012772
18,sccst,13022000,13023136
19,sccst,13512000,13512122
20,sccst,13523500,13523614
21,sccst,13563500,13563615
22,sccst,13627000,13627020
23,sccst,13647000,13647038
24,sccst,13662500,13662530
25,sccst,13692000,13692096
26,sccst,13710500,13710914
27,sccst,13721000,13721125
28,sccst,13731500,13731532
29,sccst,13744500,13744521
30,sccst,13761500,13761613
31,sccst,13773000,13774134
32,sccst,13805000,13805341
33,sccst,13819000,13819025
34,sccst,13954000,13954332
35,sccst,14032500,14032531
36,sccst,14063000,14063120
37,sccst,14118500,14118623
38,sccst,14240000,14240068
39,sccst,14313500,14313605
40,sccst,14346500,14346684
41,sccst,14576500,14576655
42,sccst,14604000,14604023
43,sccst,14624000,14624276
44,sccst,14678000,14678175
45,sccst,14799000,14799117
46,sccst,14809500,14809606
47,sccst,14819500,14819657
48,sccst,14851500,14851551
49,sccst,14862500,14862610
50,sccst,14885000,14885031
51,sccst,14891500,14891649
52,sccst,14923500,14923672
53,sccst,14930000,14930210
54,sccst,14949000,14949015
55,sccst,14971000,14971222
56,sccst,14986000,14986067
57,sccst,15008500,15009389
58,sccst,15052500,15052661
59,sccst,15090500,15090509
60,sccst,15136000,15136094
61,sccst,15154000,15155589
62,sccst,15188500,15188523
63,sccst,15363500,15363688
64,sccst,15399000,15399106
65,sccst,15545500,15545560
66,sccst,15572500,15572505
67,sccst,15702500,15702579
68,sccst,15738000,15738087
69,sccst,15810500,15810631
70,sccst,15845000,15845036
71,sccst,15945000,15945139
72,sccst,15966000,15966211
73,sccst,16090500,16090591
74,sccst,16096000,16096065
75,sccst,16643000,16643061
76,sccst,16659000,16659049
77,sccst,16873500,16873666
78,sccst,16941500,16941701
79,sccst,16974000,16974116
80,sccst,17014000,17014022
81,sccst,17058000,17058122
82,sccst,17151000,17151188
83,sccst,17227000,17227047
84,sccst,17253000,17253242
85,sccst,17332500,17332746
86,sccst,17393500,17393674
87,sccst,17435000,17435081
88,sccst,17474500,17474841
89,sccst,17497500,17497663
90,sccst,17561500,17561649
91,sccst,17604000,17604580
92,sccst,17669000,17669188
93,sccst,144500,144591
94,sccst,182500,182654
95,sccst,260500,260630
96,sccst,486500,486531
97,sccst,610000,610063
98,sccst,647000,647182
99,sccst,825500,825701
100,sccst,1012000,1012008
101,sccst,1116500,1116512
102,sccst,1149500,1149834
103,sccst,1203500,1203535
104,sccst,1491500,1491689
105,sccst,1557500,1557598
106,sccst,1602000,1602104
107,sccst,1638500,1638678
108,sccst,1670500,1670626
109,sccst,1830500,1830562
110,sccst,1872000,1872035
111,sccst,2100000,2100024
112,sccst,2277500,2277666
113,sccst,2353000,2353026
114,sccst,2538500,2538639
115,sccst,2757000,2757122
116,sccst,3081000,3081108
117,sccst,3134000,3134157
