,0,1,2
0,sst,1860000,1860166
1,sst,2220000,2220010
2,rtst,3703030,4173606
3,rtst,11306033,11618588
4,sst,20836000,20836796
5,sst,21198500,21198669
6,rtst,2561022,2625107
7,rtst,2795555,2812552
8,sst,3284000,3284092
9,rtst,5075535,5253029
10,rtst,5589517,5904561
11,rtst,5977542,6063513
12,rtst,6205546,6224832
13,rtst,6244535,6320105
14,rtst,7198006,7208503
15,rtst,7222500,7328597
16,rtst,7335020,7387038
17,rtst,7522514,7661007
18,rtst,11853511,12011101
19,sst,13155000,13155098
20,rtst,18307590,18574513
21,rtst,19115523,20193588
22,rtst,20426093,21199044
23,rtst,21266091,21348526
