,0,1,2
0,st,180019,386509
1,st,986510,1168560
2,st,1183668,1405547
3,st,1473024,1535775
4,st,2141077,2503022
5,st,3205593,3258009
6,st,5571514,6062527
7,st,7961500,8088006
8,st,9307066,9521075
9,st,10936006,11469532
10,st,11964071,12027009
11,st,13907509,14024530
12,st,14060085,14254574
13,st,14416024,14604095
14,st,14985086,15228074
15,st,16238500,16306515
16,st,16322517,16483065
17,st,16877538,17083042
18,st,17572558,17827554
19,st,18184577,18237572
20,st,18279500,18459076
21,st,19438078,19635077
22,st,20513516,20567555
23,st,1077051,1167504
24,st,1553580,1660542
25,st,1705553,1936044
26,st,2606062,2686041
27,st,3032054,3079544
28,st,3197085,3260597
29,st,3863542,4028518
30,st,4362546,4699592
31,st,4879535,5095127
32,st,5172031,5287020
33,st,6515546,6536045
34,st,7411532,7586556
35,st,8009631,8053070
36,st,9839509,10081548
37,st,11013724,11541083
38,st,12169567,12456596
39,st,13399075,13495510
40,st,14304564,14395576
41,st,14416024,14553338
42,st,14994507,15229065
43,st,15277531,15456117
44,st,15631612,15676071
45,st,15877062,15909514
46,st,16117504,16295555
47,st,16467532,16490007
48,st,16727212,16804542
49,st,17229523,17572558
50,st,18289519,18335065
51,st,18954507,18987003
52,st,19301032,19415069
53,st,19611001,19712028
54,st,20422066,20528576
