,0,1,2
0,st,1891100,2333575
1,st,3523079,3598541
2,st,3763095,3806053
3,st,4008559,4056546
4,st,4090533,4152519
5,st,4341075,4374101
6,st,4617106,4693527
7,st,4909088,5034513
8,st,5239612,5564043
9,st,5847034,6143040
10,st,6298068,6487566
11,st,7302543,7382010
12,st,7780526,8208127
13,st,9197044,9236112
14,st,9725097,9763104
15,st,10453382,10575015
16,st,10700602,10887549
17,st,11070097,11103098
18,st,11364616,11402101
19,st,11587521,11619548
20,st,11847572,12040549
21,st,12275611,12302107
22,sst,12530000,12530144
23,st,12756510,12815103
24,st,12946101,12986126
25,st,13260050,13475553
26,st,13706072,13751046
27,st,13935017,14132066
28,st,14269600,14433562
29,st,14595053,14638049
30,st,14810506,14861100
31,st,15507110,16090048
32,st,16928599,17057633
33,st,17214002,17484588
34,st,17598582,17630633
35,st,18353579,18379037
36,st,18708108,18727002
37,st,18854084,18886001
38,st,19213526,19228056
39,st,19284568,19389579
40,st,19451111,19554060
41,st,19597575,19698024
42,st,3341694,3783554
43,st,3969555,4182072
44,sst,5989500,5989687
45,st,8952585,8995062
46,st,9929083,10247525
47,st,10680092,10886078
48,st,11282055,11473022
49,st,12063559,12441510
50,st,13100607,13354115
51,st,13781065,14336002
52,st,15156014,15528583
53,st,16328032,16783098
54,st,17089028,17565086
55,st,18869018,19267033
