,0,1,2
0,sst,1902000,1902076
1,sst,1960500,1960760
2,sst,2025500,2025762
3,sst,2155000,2155036
4,sst,2505000,2505088
5,sst,4308500,4308515
6,sst,4372000,4372100
7,sst,4461000,4461063
8,sst,4517500,4517770
9,sst,4547000,4547019
10,sst,5229500,5229596
11,sst,5307000,5307101
12,sst,5456000,5456027
13,sst,8347500,8347703
14,sst,10064500,10064637
15,sst,10135000,10135051
16,st,18607503,78536
17,sst,924000,924071
18,sst,1104500,1104566
19,sst,1946500,1946573
20,sst,1960000,1960014
21,sst,2173500,2173614
22,sst,2203500,2203617
23,sst,3027000,3047260
24,sst,3298000,3298022
25,sst,4305000,4305062
26,st,14109554,16174069
