,0,1,2
0,st,1930504,1950079
1,sst,2918500,2918566
2,sst,3483500,3483736
3,sst,4052000,4052293
4,sst,4305000,4305087
5,sst,6037500,6037562
6,st,6187559,6435019
7,sst,7093000,7093275
8,st,7329089,7532079
9,st,8311034,8440008
10,sst,10964000,10964199
11,st,11197538,11231123
12,st,11524548,11578058
13,st,11719562,12386044
14,st,12916069,12984114
15,st,13175562,14102037
16,st,14306597,14495554
17,st,14518104,14555538
18,st,16245025,16659514
19,st,16713140,16971553
20,st,17110520,17632539
21,st,17934568,18814099
22,st,19749566,20201507
23,st,20540035,20870522
24,sst,21017000,21017157
25,st,21228516,21309414
26,st,23053032,23317596
27,st,1248528,1286068
28,st,1952105,1972569
29,sst,4049000,4049011
30,sst,4614500,4614610
31,sst,10893500,10893535
32,st,14611575,14744091
33,sst,16974500,16974568
34,sst,18830000,18830121
35,st,21511511,21639030
36,st,22528057,22722082
