,0,1,2
0,st,291645,444310
1,st,575384,908098
2,st,1760034,2198127
3,st,3929291,4521567
4,st,4734427,5356572
5,st,5560142,5937509
6,st,6293175,6740039
7,st,9344576,9906069
8,st,10612071,11165028
9,st,11582587,12168516
10,st,12281911,12330598
11,st,12950026,13063583
12,st,13387035,14741082
13,st,15934276,16061861
14,st,16238568,16597082
15,st,16769014,16940060
16,st,19672527,20548503
17,sst,151500,151805
18,sst,760000,760274
19,sst,1674500,1674531
20,sst,2223500,2223506
21,st,2978159,3929291
22,st,5514246,6194509
23,st,6291067,8041562
24,st,9639569,10401038
25,st,14936550,15180026
26,sst,15903000,15903163
27,st,16941525,16992065
28,st,17626918,18055158
29,st,18762005,19676104
30,st,19942004,20865545
