,0,1,2
0,sst,260250,261538
1,sst,497250,497363
2,sst,1394250,1394313
3,sst,1610750,1610883
4,sst,1688750,1688829
5,sst,1752750,1752775
6,sst,2995750,2995829
7,sst,3083250,3083266
8,sst,5213750,5213764
9,sst,6728250,6728372
10,sst,8001750,8001852
11,sst,8468250,8468291
12,sst,8846750,8846831
13,sst,9033750,9033779
14,sst,9177750,9178075
15,sst,9276250,9276375
16,sst,10760750,10760898
17,sst,11320750,11320879
18,sst,11725250,11725294
19,sst,12410750,12410779
20,rtst,12664294,12674781
21,rtst,12689253,12713256
22,sst,12879250,12879356
23,sst,14020250,14020350
24,sst,15116250,15116373
25,sst,15558750,15558924
26,sst,16150250,16150327
27,rtst,16276293,17015834
28,rtst,17493310,17516308
29,sst,102250,102367
30,sst,219750,219778
31,sst,503750,504210
32,sst,1212750,1212858
33,sst,1526250,1526327
34,sst,1582750,1582856
35,sst,1720250,1720356
36,sst,1780750,1780869
37,sst,2096250,2096398
38,sst,2819750,2819852
39,sst,2987750,2987923
40,sst,3383750,3383813
41,sst,3464250,3464359
42,sst,3601250,3601288
43,sst,3905750,3905754
44,sst,4604750,4604830
45,sst,4888250,4888345
46,sst,5102250,5102251
47,sst,5258750,5258823
48,sst,5515750,5515803
49,sst,5969250,5969349
50,sst,6344750,6344821
51,sst,7119750,7119897
52,sst,8583250,8583283
53,sst,9213750,9213868
54,sst,9386750,9386793
55,sst,9915250,9915270
56,sst,10357750,10357765
57,sst,10743250,10743353
58,sst,11109750,11109855
59,sst,11131750,11131842
60,sst,11277250,11277340
61,sst,11509250,11509299
62,sst,11840750,11840799
63,sst,11959750,11959869
64,sst,11985750,11985770
65,sst,12053750,12053847
66,sst,12156250,12156283
67,sst,13597750,13597771
68,sst,13819250,13819416
69,sst,14403250,14403653
70,sst,15127750,15127813
71,sst,17504250,17504254
72,sst,17637250,17637289
73,sst,18789250,18789333
