,0,1,2
0,sst,172500,172615
1,sst,11775500,11775600
2,sst,12933500,12933583
3,sst,13025000,13025019
4,st,13269070,13291021
5,sst,13421000,13421059
6,sst,13678500,13678541
7,sst,14192000,14192147
8,sst,14851000,14851009
9,sst,14878000,14878010
10,st,37518,114555
11,sst,130000,130070
12,sst,273500,273608
13,sst,678500,678520
14,sst,2531000,2531134
15,sst,3253000,3253086
16,sst,4858000,4858028
17,sst,7297500,7297537
18,sst,9192000,9192163
19,sst,9801000,9801036
20,sst,10652000,10652113
21,sst,13121000,13121178
22,sst,13382500,13382687
23,sst,13526500,13526642
24,sst,13688000,13688197
25,sst,14792000,14792014
