,0,1,2
0,st,119065,239073
1,sst,937500,937698
2,rtst,1808571,1834589
3,rtst,1846086,1890003
4,rtst,2350052,2612043
5,st,2686900,2831009
6,st,2954006,3239082
7,rtst,3518845,3657530
8,rtst,3687565,3726004
9,rtst,3799031,3873515
10,rtst,5044509,5081540
11,rtst,5389563,5619565
12,st,5702533,6192602
13,st,6198016,6225124
14,rtst,6726673,7062039
15,rtst,7244595,7383505
16,rtst,7648038,7903568
17,rtst,7942002,8152635
18,rtst,8223073,8273016
19,sst,10337500,10337515
20,sst,12132000,12132004
21,st,15498128,15596070
22,st,15690097,15824078
23,st,15900113,16476592
24,st,16572008,16868585
25,st,17193575,17467546
26,st,17543118,18120507
27,rtst,18285077,18445280
28,st,20223572,20430117
29,sst,365500,365601
30,sst,2349500,2349529
31,sst,3255000,3255003
32,sst,4423000,4423054
33,sst,5703500,5703736
34,sst,7358500,7358606
35,sst,8481500,8481533
36,sst,12017000,12017112
37,sst,18444000,18444300
38,sst,19083500,19083728
39,st,20225116,20486038
40,st,20635359,20662070
