,0,1,2
0,st,45572,82253
1,sst,104500,104502
2,sst,119000,119105
3,sst,166000,166111
4,sst,193500,193548
5,sst,889500,889514
6,sst,1260000,1260056
7,st,3362040,3767026
8,st,4073578,4093055
9,sst,4146000,4146145
10,st,4546008,4613531
11,st,4672651,4727119
12,sst,5363500,5363593
13,st,5465541,5471006
14,st,6657058,6672056
15,st,6990094,7211041
16,st,7575034,7640500
17,st,7710038,7730530
18,sst,7859500,7859568
19,st,7977037,8085012
20,st,8328537,8400525
21,sst,8818500,8818519
22,sst,9804000,9804185
23,sst,10888000,10888184
24,sst,10955000,10955056
25,sst,11057000,11057142
26,st,12609106,12635000
27,st,12671025,13334606
28,st,13787019,13939522
29,st,14289602,14569016
30,sst,15124000,15124434
31,sst,15177500,15177515
32,st,15356513,15385585
33,st,15464612,15482503
34,st,16023540,16083007
35,st,16402092,16466513
36,sst,16731000,16731058
37,st,16858018,16911558
38,st,17038522,17106012
39,sst,17610000,17610119
40,sst,18250500,18250695
41,sst,18758500,18758580
42,st,19049069,19060534
43,st,19064215,19077515
44,st,19083572,19090537
45,st,19097544,19115049
46,st,19126628,19136056
47,st,19165583,19232592
48,st,19250045,19256533
49,st,19436049,19472004
50,st,19721020,19808557
51,sst,20007000,20007253
52,sst,20409000,20409112
53,st,193100,266558
54,st,1137095,1263533
55,st,1866549,2028063
56,sst,2646500,2646906
57,st,2832066,3023515
58,st,3364594,3766034
59,sst,4200000,4200074
60,sst,5464000,5464140
61,sst,8479000,8479163
62,sst,8801500,8801647
63,sst,12632000,12632183
64,sst,13591500,13591615
65,sst,14269500,14269578
66,sst,15181000,15181132
67,sst,15512000,15512086
68,st,15938547,16076537
69,sst,16135000,16135017
70,sst,16375000,16375035
71,st,16489035,16541053
72,sst,16723500,16723685
73,sst,16833500,16833804
74,st,18026506,18042585
75,st,18368093,18385034
76,sst,18831000,18831193
77,sst,19018000,19018139
78,sst,19034000,19034072
79,sst,19049000,19049138
80,st,19126628,19138560
81,sst,19436000,19436099
82,sst,20004000,20004062
83,sst,20670000,20670019
84,sst,21355500,21355539
