,0,1,2
0,st,1371796,2520794
1,sst,4394250,4394512
2,sst,6220250,6220281
3,sst,7610750,7610884
4,sst,8973250,8973364
5,sst,9857750,9857919
6,sst,10610250,10610374
7,sst,10726750,10726889
8,sst,11645750,11645879
9,sst,12798250,12798290
10,sst,12922250,12922468
11,st,13389313,13479338
12,st,13569339,13677292
13,st,13683786,13713808
14,st,15908300,16554337
15,st,16559821,16799850
16,sst,17341250,17341303
17,sst,18723250,18723282
18,sst,19203750,19203784
19,sst,671250,671441
20,sst,806250,806306
21,sst,1885250,1885451
22,sst,3919750,3919882
23,sst,6258750,6258849
24,sst,7900250,7900452
25,sst,8778750,8778915
26,sst,12805250,12805307
27,sst,13682750,13683257
28,sst,14304250,14304315
29,sst,14551750,14551841
30,st,15559794,15911324
31,st,17061804,17113274
32,st,17318306,17408305
